SKU,Name,Brand,Category,Price,Cost Price,Description,Image URL,Stock,Tags
"8683224633726","DEEP FRESH HERBAL SHAMPOO WITH NETTLE EXTRACT","DEEP","Hair Care","4.5","1.75","DEEP FRESH HERBAL SHAMPOO WITH NETTLE EXTRACT - Premium quality beauty product","","100","Hair Care, DEEP"
"8682373797399","MIRIAM MARVELS INTIMATE 190GR","MIRIAM","Personal Care","6","2.73333","MIRIAM MARVELS INTIMATE 190GR - Premium quality beauty product","","100","Personal Care, MIRIAM"
"8682332277232","AIDPLAST WOUND DRESSING 9CM*30CM","AIDPLAST","Personal Care","25","17.0905","AIDPLAST WOUND DRESSING 9CM*30CM - Premium quality beauty product","","100","Personal Care, AIDPLAST"
"8682332277223","AIDPLAST FIRST AID PLASTER 10PSC","AIDPLAST","Personal Care","1","0.35","AIDPLAST FIRST AID PLASTER 10PSC - Premium quality beauty product","","100","Personal Care, AIDPLAST"
"8682273374769","ARGINON SYRUP 200ML","ARGINON","Personal Care","12.95","8.514","ARGINON SYRUP 200ML - Premium quality beauty product","","100","Personal Care, ARGINON"
"8682774779422","THE NEW LAB CAFFIENE SERUM 30ML","THE","Skin Care","20","13.793","THE NEW LAB CAFFIENE SERUM 30ML - Premium quality beauty product","","100","Skin Care, THE"
"8682774779223","THE NEW LAB NIACINAMIDE 5% SERUM 30ML","THE","Skin Care","18","14.4","THE NEW LAB NIACINAMIDE 5% SERUM 30ML - Premium quality beauty product","","100","Skin Care, THE"
"8682774779222","THE NEW LAB RETINOL 0.2% + SQUALENE 20%","THE","Personal Care","23","18.239","THE NEW LAB RETINOL 0.2% + SQUALENE 20% - Premium quality beauty product","","100","Personal Care, THE"
"8682774779269","THE NEW LAB AHA BHA SERUM 30ML","THE","Skin Care","18","12.414","THE NEW LAB AHA BHA SERUM 30ML - Premium quality beauty product","","100","Skin Care, THE"
"8682774779297","THE NEW LAB SALICYLIC ACID TONER 200ML","THE","Skin Care","14","9.655","THE NEW LAB SALICYLIC ACID TONER 200ML - Premium quality beauty product","","100","Skin Care, THE"
